티커,종목명,현재가($),수익률(%)
SNCY,Sun Country Airlines Holdings Inc. Common Stock,19.34,28.25
UMC,United Microelectronics Corporation (NEW) Common Stock,9.95,28.06
WLK,Westlake Corporation Common Stock,96.0,28.03
LBRT,Liberty Energy Inc. Class A common stock,24.11,27.97
BAK,Braskem SA ADR,3.66,27.97
ATRO,Astronics Corporation Common Stock,74.37,27.94
LRN,Stride Inc. Common Stock,86.45,27.88
NX,Quanex Building Products Corporation Common Stock,20.1,27.78
PLXS,Plexus Corp. Common Stock,196.28,27.74
DAR,Darling Ingredients Inc. Common Stock,47.96,27.69
ELE,Elemental Royalty Corporation Common Stock,21.15,27.64
GPRE,Green Plains Inc. Common Stock,12.6,27.4
CMBT,CMB.TECH NV Ordinary Shares,12.23,27.4
ODFL,Old Dominion Freight Line Inc. Common Stock,208.54,27.37
EGBN,Eagle Bancorp Inc. Common Stock,27.43,27.21
SCCO,Southern Copper Corporation Common Stock,195.97,26.93
NESR,National Energy Services Reunited Corp Ordinary Shares,20.45,26.86
OS,OneStream Inc. Class A Common Stock,23.33,26.86
CMPX,Compass Therapeutics Inc. Common Stock,6.33,26.85
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),4.92,26.8
FUN,Six Flags Entertainment Corporation Common Stock New,18.57,26.67
TXN,Texas Instruments Incorporated Common Stock,222.92,26.64
BHE,Benchmark Electronics Inc. Common Stock,55.98,26.51
ACDC,ProFrac Holding Corp. Class A Common Stock,5.25,26.51
SCZM,Santacruz Silver Mining Ltd. Common Shares,12.47,26.47
RUSHA,Rush Enterprises Inc. Common Stock Cl A,70.52,26.47
IMO,Imperial Oil Limited Common Stock,110.71,26.18
UA,Under Armour Inc. Class C Common Stock,6.51,26.16
CBRL,Cracker Barrel Old Country Store Inc Common Stock,33.25,26.09
INSW,International Seaways Inc. Common Stock ,58.96,25.96
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,215.03,25.93
HLIO,Helios Technologies Inc. Common Stock,70.73,25.84
DAWN,Day One Biopharmaceuticals Inc. Common Stock,10.74,25.61
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,17.03,25.59
WGO,Winnebago Industries Inc. Common Stock,49.85,25.58
ACMR,ACM Research Inc. Class A Common Stock,56.51,25.58
CLMT,Calumet Inc. Common Stock,24.51,25.56
BG,Bunge Limited Common Shares,117.23,25.51
HOV,Hovnanian Enterprises Inc. Class A Common Stock,123.11,25.49
DFTX,Definium Therapeutics Inc. Common Shares,17.03,25.41
WDFC,WD-40 Company Common Stock,243.88,25.3
POWI,Power Integrations Inc. Common Stock,47.25,25.27
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),57.1,25.25
