티커,종목명,섹터,산업,현재가,수익률(%)
POCI,Precision Optics Corporation Inc. Common stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,5.65,33.57
OCS,Oculis Holding AG Ordinary shares,Health Care,Biotechnology: Pharmaceutical Preparations,26.37,33.52
HOFT,Hooker Furnishings Corporation Common Stock,Consumer Discretionary,Home Furnishings,14.81,33.42
ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.8,33.33
AAUC,Allied Gold Corporation Common Shares,,,31.53,32.98
MRNA,Moderna Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),42.77,32.95
DNLI,Denali Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),21.28,32.83
KRO,Kronos Worldwide Inc Common Stock,Basic Materials,Major Chemicals,6.17,32.69
SHIM,Shimmick Corporation Common Stock,Industrials,Military/Government/Technical,4.31,32.62
AHMA,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,Consumer Discretionary,Services-Misc. Amusement & Recreation,6.75,32.61
NE,Noble Corporation plc A Ordinary Shares,Energy,Oil & Gas Production,38.49,32.59
ARRY,Array Technologies Inc. Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries,11.96,32.45
SOLS,Solstice Advanced Materials Inc. Common Stock ,Industrials,Aerospace,65.22,32.21
TWI,Titan International Inc. (DE) Common Stock,Industrials,Steel/Iron Ore,10.65,31.97
NTLA,Intellia Therapeutics Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,12.36,31.91
WS,Worthington Steel Inc. Common Shares,Industrials,Steel/Iron Ore,46.46,31.73
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Basic Materials,Precious Metals,22.43,31.63
DTI,Drilling Tools International Corporation Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,3.77,31.59
CING,Cingulate Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6.25,31.58
BORR,Borr Drilling Limited Common Shares,Energy,Oil & Gas Production,5.23,31.41
RMCO,Royalty Management Holding Corporation Class A Common Stock,Miscellaneous,Multi-Sector Companies,4.17,31.13
HLF,Herbalife Ltd. Common Shares,Health Care,Other Pharmaceuticals,16.92,31.06
AVT,Avnet Inc. Common Stock,Technology,Electronic Components,63.99,31.02
AGIG,Abundia Global Impact Group Inc. Common stock,Energy,Oil & Gas Production,3.0,31.0
KMT,Kennametal Inc. Common Stock,Industrials,Industrial Machinery/Components,38.35,30.93
MBX,MBX Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,38.37,30.91
HUN,Huntsman Corporation Common Stock,Industrials,Major Chemicals,13.73,30.89
FUSE,Fusemachines Inc. Common stock,Technology,EDP Services,2.12,30.86
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,Technology,Radio And Television Broadcasting And Communications Equipment,18.7,30.68
DSX,Diana Shipping inc. common stock,Consumer Discretionary,Marine Transportation,2.26,30.64
MUX,McEwen Inc. Common Stock,Basic Materials,Precious Metals,25.6,30.61
OEC,Orion S.A. Common Shares,Industrials,Major Chemicals,7.17,30.6
DNTH,Dianthus Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,48.13,30.47
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,465.54,30.39
ELDN,Eledon Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.15,30.3
FLNC,Fluence Energy Inc. Class A Common Stock,Miscellaneous,Industrial Machinery/Components,28.99,30.29
STNG,Scorpio Tankers Inc. Common Shares,Consumer Discretionary,Marine Transportation,64.5,30.28
NXT,Nextpower Inc. Class A Common Stock,Industrials,Industrial Machinery/Components,116.72,30.27
ORIC,Oric Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,10.61,30.18
DOW,Dow Inc. Common Stock ,Industrials,Major Chemicals,32.4,30.12
OTH,Off The Hook YS Inc. Common Stock,Industrials,Marine Transportation,2.68,30.03
HE,Hawaiian Electric Industries Inc. Common Stock,Utilities,Electric Utilities: Central,16.47,29.99
IPGP,IPG Photonics Corporation Common Stock,Technology,Semiconductors,99.89,29.98
CYD,China Yuchai International Limited Common Stock,Industrials,Industrial Machinery/Components,48.49,29.97
TDW,Tidewater Inc. Common Stock,Consumer Discretionary,Marine Transportation,67.49,29.89
OSS,One Stop Systems Inc. Common Stock,Technology,Computer Manufacturing,8.96,29.86
PMAX,Powell Max Limited Class A Ordinary Shares,Consumer Discretionary,Other Consumer Services,2.48,29.84
CGON,CG Oncology Inc. Common stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),51.98,29.82
VHI,Valhi Inc. Common Stock,Basic Materials,Major Chemicals,15.92,29.75
CMTV,Community Bancorp. Common Stock,Finance,Major Banks,32.0,29.72
ODC,Oil-Dri Corporation Of America Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries,62.24,29.67
DLX,Deluxe Corporation Common Stock,Consumer Discretionary,Publishing,28.18,29.56
DWSN,Dawson Geophysical Company Common Stock,Energy,Oil & Gas Production,2.28,29.55
VIR,Vir Biotechnology Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),7.5,29.53
GPCR,Structure Therapeutics Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,81.26,29.46
KG,Kestrel Group Ltd.,Finance,Property-Casualty Insurers,12.13,29.46
IVA,Inventiva S.A. American Depository Shares,Health Care,Biotechnology: Pharmaceutical Preparations,5.95,29.35
SPIR,Spire Global Inc. Class A Common Stock,Consumer Discretionary,Telecommunications Equipment,10.61,29.23
HAO,Haoxi Health Technology Limited Class A Ordinary Shares,Consumer Discretionary,Advertising,1.33,29.13
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Energy,Oil & Gas Production,15.14,28.96
OM,Outset Medical Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,4.9,28.95
MATX,Matson Inc. Common Stock,Consumer Discretionary,Marine Transportation,162.93,28.92
VSH,Vishay Intertechnology Inc. Common Stock,Technology,Electrical Products,19.86,28.79
RXO,RXO Inc. Common Stock,Consumer Discretionary,Transportation Services,17.05,28.68
SKE,Skeena Resources Limited Common Shares,Basic Materials,Precious Metals,31.3,28.65
SNCY,Sun Country Airlines Holdings Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,19.34,28.25
UMC,United Microelectronics Corporation (NEW) Common Stock,Technology,Semiconductors,9.95,28.06
WLK,Westlake Corporation Common Stock,Industrials,Major Chemicals,96.0,28.03
BAK,Braskem SA ADR,Industrials,Major Chemicals,3.66,27.97
LBRT,Liberty Energy Inc. Class A common stock,Energy,Oilfield Services/Equipment,24.11,27.97
ATRO,Astronics Corporation Common Stock,Industrials,Military/Government/Technical,74.37,27.94
LRN,Stride Inc. Common Stock,Real Estate,Other Consumer Services,86.45,27.88
NX,Quanex Building Products Corporation Common Stock,Industrials,Metal Fabrications,20.1,27.78
PLXS,Plexus Corp. Common Stock,Technology,Electrical Products,196.28,27.74
DAR,Darling Ingredients Inc. Common Stock,Consumer Staples,Packaged Foods,47.96,27.69
ELE,Elemental Royalty Corporation Common Stock,Basic Materials,Precious Metals,21.15,27.64
ARMP,Armata Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),8.1,27.56
RILYT,BRC Group Holdings Inc. 6.00% Senior Notes Due 2028,Finance,Investment Managers,17.94,27.5
CFBK,CF Bankshares Inc. Common Stock,Finance,Major Banks,31.52,27.47
CMBT,CMB.TECH NV Ordinary Shares,Consumer Discretionary,Marine Transportation,12.23,27.4
GPRE,Green Plains Inc. Common Stock,Industrials,Major Chemicals,12.6,27.4
ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,Trucking Freight/Courier Services,208.54,27.37
GLSI,Greenwich LifeSciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,27.01,27.35
FDMT,4D Molecular Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),9.29,27.26
EGBN,Eagle Bancorp Inc. Common Stock,Finance,Major Banks,27.43,27.21
SLNG,Stabilis Solutions Inc. Common Stock,Utilities,Oil/Gas Transmission,5.57,27.17
RPID,Rapid Micro Biosystems Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,3.89,27.12
SCCO,Southern Copper Corporation Common Stock,Basic Materials,Metal Mining,195.97,26.93
NESR,National Energy Services Reunited Corp Ordinary Shares,Energy,Oilfield Services/Equipment,20.45,26.86
OS,OneStream Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,23.33,26.86
CMPX,Compass Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6.33,26.85
WEST,Westrock Coffee Company Common Stock,Consumer Staples,Beverages (Production/Distribution),5.06,26.82
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),Utilities,Oil/Gas Transmission,4.92,26.8
FUN,Six Flags Entertainment Corporation Common Stock New,Consumer Discretionary,Services-Misc. Amusement & Recreation,18.57,26.67
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,222.92,26.64
TUSK,Mammoth Energy Services Inc. Common Stock,Energy,Oilfield Services/Equipment,2.43,26.56
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,Oilfield Services/Equipment,5.25,26.51
BHE,Benchmark Electronics Inc. Common Stock,Technology,Electrical Products,55.98,26.51
PANL,Pangaea Logistics Solutions Ltd. Common Shares,Consumer Discretionary,Marine Transportation,8.41,26.47
SCZM,Santacruz Silver Mining Ltd. Common Shares,,,12.47,26.47
RUSHA,Rush Enterprises Inc. Common Stock Cl A,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,70.52,26.47
MEI,Methode Electronics Inc. Common Stock,Technology,Electrical Products,8.64,26.43
ONEW,OneWater Marine Inc. Class A Common Stock,Consumer Discretionary,Auto & Home Supply Stores,14.08,26.39
IMO,Imperial Oil Limited Common Stock,Energy,Integrated oil Companies,110.71,26.18
UA,Under Armour Inc. Class C Common Stock,Consumer Discretionary,Apparel,6.51,26.16
UONE,Urban One Inc. Class A Common Stock,Consumer Discretionary,Broadcasting,12.99,26.12
CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Discretionary,Restaurants,33.25,26.09
INSW,International Seaways Inc. Common Stock ,Consumer Discretionary,Marine Transportation,58.96,25.96
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,Technology,Semiconductors,215.03,25.93
HLIO,Helios Technologies Inc. Common Stock,Industrials,Metal Fabrications,70.73,25.84
FATN,FatPipe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,2.69,25.7
DAWN,Day One Biopharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,10.74,25.61
ALTG,Alta Equipment Group Inc. Class A Common Stock,Industrials,Industrial Machinery/Components,6.82,25.6
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,Basic Materials,Metal Mining,17.03,25.59
WGO,Winnebago Industries Inc. Common Stock,Industrials,Homebuilding,49.85,25.58
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,56.51,25.58
CLMT,Calumet Inc. Common Stock,Energy,Integrated oil Companies,24.51,25.56
BG,Bunge Limited Common Shares,Consumer Staples,Packaged Foods,117.23,25.51
HOV,Hovnanian Enterprises Inc. Class A Common Stock,Consumer Discretionary,Homebuilding,123.11,25.49
ALT,Altimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.13,25.43
STRS,Stratus Properties Inc. Common Stock,Real Estate,Homebuilding,29.85,25.42
GROW,U.S. Global Investors Inc. Class A Common Stock,Finance,Investment Managers,3.1,25.41
DFTX,Definium Therapeutics Inc. Common Shares,Health Care, Medicinal Chemicals and Botanical Products ,17.03,25.41
WDFC,WD-40 Company Common Stock,Industrials,Major Chemicals,243.88,25.3
AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,23.05,25.27
POWI,Power Integrations Inc. Common Stock,Technology,Semiconductors,47.25,25.27
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Industrials,Major Chemicals,57.1,25.25
PSIG,PS International Group Ltd. Ordinary Shares,Industrials,Integrated Freight & Logistics,5.66,25.22
