티커,종목명,섹터,산업,현재가,수익률(%)
TCGL,TechCreate Group Ltd. Class A Ordinary Shares,Technology,EDP Services,172.84,2986.43
ANL,Adlai Nortye Ltd. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,10.08,620.0
BNAI,Brand Engagement Network Inc. Common Stock,Technology,EDP Services,22.27,515.19
GITS,Global Interactive Technologies Inc. Common Stock,Technology,Computer Software: Programming Data Processing,4.37,475.76
CGTL,Creative Global Technology Holdings Limited Class A Ordinary Shares,Technology,Retail: Computer Software & Peripheral Equipment,5.2,344.44
NAMM,Namib Minerals Ordinary Shares,Basic Materials,Precious Metals,3.67,267.0
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Consumer Discretionary,Other Consumer Services,80.2,248.7
ERAS,Erasca Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,11.24,222.06
ALMS,Alumis Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,26.35,217.09
CRVS,Corvus Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,20.82,206.63
LVLU,Lulu's Fashion Lounge Holdings Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,16.28,192.81
IBRX,ImmunityBio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5.88,182.69
ONEG,OneConstruction Group Limited Ordinary Shares,Consumer Discretionary,Homebuilding,4.98,176.67
YI,111 Inc. American Depositary Shares,Consumer Staples,Retail-Drug Stores and Proprietary Stores,7.63,176.45
OPTX,Syntec Optics Holdings Inc. Class A Common Stock,Technology,Electronic Components,7.56,148.68
LSTA,Lisata Therapeutics Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,4.71,144.04
SPHL,Springview Holdings Ltd Class A Ordinary Shares,Consumer Discretionary,Homebuilding,4.75,136.32
TYGO,Tigo Energy Inc. Common Stock,Technology,Semiconductors,3.69,129.19
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,Miscellaneous,Multi-Sector Companies,1.02,122.71
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,584.55,113.28
PMN,ProMIS Neurosciences Inc. Common Shares (ON),Health Care,Biotechnology: Pharmaceutical Preparations,15.65,111.49
BATL,Battalion Oil Corporation Common Stock,Energy,Oil & Gas Production,2.64,110.36
ROLR,High Roller Technologies Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,5.33,109.84
RILYL,BRC Group Holdings Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock par value $0.0001,Finance,Investment Managers,10.7,103.81
ODYS,Odysight.ai Inc. Common Stock,Technology,Electronic Components,6.17,101.63
ATLN,Atlantic International Corp. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,3.8,100.0
POAS,Phaos Technology Holdings (Cayman) Limited Class A Ordinary Shares,Industrials,Industrial Machinery/Components,6.6,97.01
RILYP,BRC Group Holdings Inc. Depositary Shares each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock,Finance,Investment Managers,9.55,94.11
RAPT,RAPT Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,57.78,93.76
BLNE,Beeline Holdings Inc. Common Stock,Finance,Finance: Consumer Services,3.59,89.95
CATX,Perspective Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments,5.1,86.81
ZNTL,Zentalis Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.55,86.13
MCRP,Micropolis AI Robotics Ordinary Shares,Consumer Discretionary,Auto Parts:O.E.M.,3.15,84.21
SJ,Scienjoy Holding Corporation Class A Ordinary Shares ,Technology,EDP Services,1.36,83.78
ELVN,Enliven Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,27.82,82.91
JFB,JFB Construction Holdings Class A Common Stock,Consumer Discretionary,General Bldg Contractors - Nonresidential Bldgs,27.83,82.85
TRX,TRX Gold Corporation Common Stock,Basic Materials,Precious Metals,1.62,82.02
IPSC,Century Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.79,80.08
RFIL,RF Industries Ltd. Common Stock,Technology,Electrical Products,10.25,79.51
ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.01,79.46
VTYX,Ventyx Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,13.91,77.88
MRNO,Murano Global Investments PLC Ordinary Shares,Consumer Discretionary,Hotels/Resorts,1.35,76.93
TOYO,TOYO Co. Ltd Ordinary Shares,Consumer Discretionary,Miscellaneous manufacturing industries,10.21,76.03
PZG,Paramount Gold Nevada Corp. Common Stock,Basic Materials,Metal Mining,2.08,74.79
GORO,Gold Resource Corporation Common Stock,Basic Materials,Precious Metals,1.56,73.33
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Basic Materials,Metal Mining,10.38,71.29
BDSX,Biodesix Inc. Common Stock,Health Care,Medical Specialities,10.3,65.33
ROMA,Roma Green Finance Limited Class A Ordinary Shares,Consumer Discretionary,Professional Services,2.67,64.81
SATL,Satellogic Inc. Class A Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,3.76,64.19
NUAI,New Era Energy & Digital Inc. Common Stock,Energy,Oil & Gas Production,5.8,62.92
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.9,62.01
TROX,Tronox Holdings plc Ordinary Shares (UK),Industrials,Major Chemicals,7.45,61.61
PLAG,Planet Green Holdings Corp. Common Stock,Consumer Staples,Packaged Foods,3.7,60.17
BIOA,BioAge Labs Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,20.15,59.67
ADAG,Adagene Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,2.84,59.55
SNBR,Sleep Number Corporation Common Stock,Consumer Discretionary,Home Furnishings,12.37,56.78
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,Industrials,Aerospace,2.86,54.59
KOS,Kosmos Energy Ltd. Common Shares (DE),Energy,Oil & Gas Production,1.53,54.55
CHRS,Coherus Oncology Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.22,54.17
KRRO,Korro Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,12.26,53.25
ARKO,ARKO Corp. Common Stock,Consumer Staples,Food Chains,6.66,52.05
ENPH,Enphase Energy Inc. Common Stock,Technology,Semiconductors,51.67,51.97
PURR,Hyperliquid Strategies Inc Common Stock,Finance,Finance: Consumer Services,5.14,49.42
SLGL,Sol-Gel Technologies Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,65.95,49.24
USAR,USA Rare Earth Inc. Class A Common Stock,Basic Materials,Metal Mining,23.53,48.92
CPSH,CPS Technologies Corp. Common Stock,Consumer Discretionary,Building Materials,4.75,48.44
CNTX,Context Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.3,48.39
THAR,Tharimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.73,48.28
RZLT,Rezolute Inc. Common Stock (NV),Health Care,Biotechnology: Pharmaceutical Preparations,2.91,48.09
CTNM,Contineum Therapeutics Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,14.8,48.0
CIGL,Concorde International Group Ltd Class A Ordinary Shares,Consumer Discretionary,Diversified Commercial Services,2.62,47.69
SLAB,Silicon Laboratories Inc. Common Stock,Technology,Semiconductors,203.41,47.47
POWL,Powell Industries Inc. Common Stock,Energy,Electrical Products,527.3,45.91
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Health Care,Medical/Dental Instruments,7.6,45.59
SYPR,Sypris Solutions Inc. Common Stock,Industrials,Industrial Machinery/Components,3.37,45.26
NEOG,Neogen Corporation Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,10.54,45.18
UCTT,Ultra Clean Holdings Inc. Common Stock,Technology,Semiconductors,42.98,44.96
EGY,VAALCO Energy Inc.  Common Stock,Energy,Oil & Gas Production,5.22,44.6
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components,418.63,44.44
PKST,Peakstone Realty Trust Common Shares,Real Estate,Real Estate Investment Trusts,20.72,43.99
SKM,SK Telecom Co. Ltd. Common Stock,Telecommunications,Telecommunications Equipment,29.65,43.65
RILY,BRC Group Holdings Inc. Common Stock,Finance,Investment Managers,7.72,43.49
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components,269.41,43.39
USAS,Americas Gold and Silver Corporation Common Shares no par value,Basic Materials,Metal Mining,7.38,43.3
FLNT,Fluent Inc. Common Stock,Consumer Discretionary,Advertising,3.77,42.8
CLYM,Climb Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.05,42.66
MOD,Modine Manufacturing Company Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,199.53,42.07
FBRX,Forte Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,32.04,42.02
INNV,InnovAge Holding Corp. Common Stock,Health Care,Medical/Nursing Services,7.78,41.97
BE,Bloom Energy Corporation Class A Common Stock,Energy,Industrial Machinery/Components,147.35,41.86
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Industrials,Building Products,9.27,41.74
MAIA,MAIA Biotechnology Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.14,41.72
GOLD,Gold.com Inc. Common Stock,Industrials,Other Specialty Stores,51.48,41.7
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,54.52,41.53
TTMI,TTM Technologies Inc. Common Stock,Technology,Electrical Products,96.22,41.52
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,1.1,40.85
CC,Chemours Company (The) Common Stock,Industrials,Major Chemicals,17.94,40.82
VG,Venture Global Inc. Class A common stock,Utilities,Oil/Gas Transmission,9.61,40.7
NEXA,Nexa Resources S.A. Common Shares,Basic Materials,Metal Mining,12.78,40.29
GTE,Gran Tierra Energy Inc. Common Stock,Energy,Oil & Gas Production,5.75,40.24
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,9.0,40.19
TWST,Twist Bioscience Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),48.12,40.13
FGBI,First Guaranty Bancshares Inc. Common Stock,Finance,Savings Institutions,9.02,40.06
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,Basic Materials,Precious Metals,39.31,39.64
CWH,Camping World Holdings Inc. Class A Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,13.65,39.57
AMN,AMN Healthcare Services Inc,Consumer Discretionary,Professional Services,21.05,39.4
TGB,Taseko Mines Ltd. Common Stock,Basic Materials,Precious Metals,8.37,39.27
ALM,Almonty Industries Inc. Common Shares,Basic Materials,Other Metals and Minerals,13.36,39.02
WTI,W&T Offshore Inc. Common Stock,Energy,Oil & Gas Production,2.18,38.85
CRML,Critical Metals Corp. Ordinary Shares,Basic Materials,Metal Mining,13.03,38.62
SRI,Stoneridge Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,8.13,38.5
TSQ,Townsquare Media Inc. Class A Common Stock,Consumer Discretionary,Broadcasting,6.92,38.47
TII,Titan Mining Corporation Common Shares,,,4.18,38.41
SLGB,Smart Logistics Global Limited Ordinary Shares,Industrials,Integrated Freight & Logistics,1.73,38.4
TNGX,Tango Therapeutics Inc.,Health Care,Biotechnology: Pharmaceutical Preparations,12.32,38.27
LQDA,Liquidia Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,44.43,38.2
DBVT,DBV Technologies S.A. American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),23.41,37.79
CTMX,CytomX Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.67,37.62
MIRM,Mirum Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,103.96,37.59
HUYA,HUYA Inc. American depositary shares each  representing one Class A ordinary share,Technology,Computer Software: Programming Data Processing,4.36,37.54
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),Industrials,Agricultural Chemicals,5.24,37.53
BKD,Brookdale Senior Living Inc. Common Stock,Health Care,Hospital/Nursing Management,14.9,37.45
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,Consumer Discretionary,Home Furnishings,6.55,37.32
SIMO,Silicon Motion Technology Corporation American Depositary Shares,Technology,Semiconductors,128.37,37.18
SILC,Silicom Ltd Ordinary Shares,Telecommunications,Computer Communications Equipment,20.79,37.14
VPG,Vishay Precision Group Inc. Common Stock,Technology,Electrical Products,53.9,37.01
STRO,Sutro Biopharma Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),14.89,36.98
RILYZ,BRC Group Holdings Inc. 5.25% Senior Notes due 2028,Finance,Investment Managers,16.24,36.86
LGIH,LGI Homes Inc. Common Stock,Consumer Discretionary,Homebuilding,58.45,36.6
SER,Serina Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.84,36.54
YDDL,One and One Green Technologies. Inc Class A Ordinary Shares,Consumer Discretionary,Industrial Specialties,7.55,36.53
STKL,SunOpta Inc. Common Stock,Industrials,Farming/Seeds/Milling,4.92,36.29
USGO,U.S. GoldMining Inc. Common stock,Basic Materials,Precious Metals,12.57,35.75
FRO,Frontline Plc Ordinary Shares,Consumer Discretionary,Marine Transportation,28.2,35.64
GLUE,Monte Rosa Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),19.53,35.63
WLFC,Willis Lease Finance Corporation Common Stock,Consumer Discretionary,Industrial Specialties,192.31,35.53
VIAV,Viavi Solutions Inc. Common Stock,Technology,Semiconductors,24.5,35.28
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),Basic Materials,Metal Mining,2.59,34.9
BNR,Burning Rock Biotech Limited American Depositary Shares,Health Care,Medical Specialities,32.99,34.76
AMPX,Amprius Technologies Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,12.4,34.64
KRUS,Kura Sushi USA Inc. Class A Common Stock,Consumer Discretionary,Restaurants,76.79,34.6
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,15.03,34.32
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors,38.2,34.27
REI,Ring Energy Inc. Common Stock,Energy,Oil & Gas Production,1.22,34.07
ARCB,ArcBest Corporation Common Stock,Industrials,Trucking Freight/Courier Services,109.55,34.06
IMNM,Immunome Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,26.41,33.99
ICHR,Ichor Holdings Ordinary Shares,Technology,Semiconductors,28.01,33.76
DXPE,DXP Enterprises Inc. Common Stock,Industrials,Industrial Machinery/Components,139.98,33.65
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.54,33.58
SCL,Stepan Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics,63.57,33.58
