티커,종목명,섹터,산업,현재가,수익률(%)
TOYO,TOYO Co. Ltd Ordinary Shares,Consumer Discretionary,Miscellaneous manufacturing industries,9.74,63.78
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Basic Materials,Metal Mining,10.15,62.66
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.89,62.36
LBTYB,Liberty Global Ltd. Class B Common Shares,Telecommunications,Cable & Other Pay Television Services,18.01,61.96
CPSH,CPS Technologies Corp. Common Stock,Consumer Discretionary,Building Materials,5.1,61.39
KOS,Kosmos Energy Ltd. Common Shares (DE),Energy,Oil & Gas Production,1.48,60.87
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Industrials,Building Products,9.5,60.47
ASTI,Ascent Solar Technologies Inc. Common Stock,Technology,Semiconductors,6.28,58.99
RILYL,BRC Group Holdings Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock par value $0.0001,Finance,Investment Managers,10.14,58.69
WTI,W&T Offshore Inc. Common Stock,Energy,Oil & Gas Production,2.38,58.67
NUAI,New Era Energy & Digital Inc. Common Stock,Energy,Oil & Gas Production,5.06,58.12
INNV,InnovAge Holding Corp. Common Stock,Health Care,Medical/Nursing Services,8.36,57.74
CTNM,Contineum Therapeutics Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,15.0,56.9
ADAG,Adagene Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,2.63,56.55
CING,Cingulate Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,7.7,54.93
FIEE,FiEE Inc Common Stock,Utilities,Telecommunications Equipment,4.91,53.92
OMH,Ohmyhome Limited Class A Ordinary Shares,Finance,Real Estate,1.27,53.01
BNR,Burning Rock Biotech Limited American Depositary Shares,Health Care,Medical Specialities,34.0,52.06
SJ,Scienjoy Holding Corporation Class A Ordinary Shares ,Technology,EDP Services,1.23,51.23
PKST,Peakstone Realty Trust Common Shares,Real Estate,Real Estate Investment Trusts,20.84,50.47
AGIG,Abundia Global Impact Group Inc. Common stock,Energy,Oil & Gas Production,3.0,50.0
SATL,Satellogic Inc. Class A Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,3.6,50.0
HUYA,HUYA Inc. American depositary shares each  representing one Class A ordinary share,Technology,Computer Software: Programming Data Processing,4.66,49.84
CHRS,Coherus Oncology Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.14,49.65
ARKO,ARKO Corp. Common Stock,Consumer Staples,Food Chains,6.64,49.55
ALM,Almonty Industries Inc. Common Shares,Basic Materials,Other Metals and Minerals,14.1,48.26
KRRO,Korro Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,12.57,48.06
PMAX,Powell Max Limited Class A Ordinary Shares,Consumer Discretionary,Other Consumer Services,2.61,47.88
FLXS,Flexsteel Industries Inc. Common Stock,Consumer Discretionary,Home Furnishings,57.55,47.79
TROX,Tronox Holdings plc Ordinary Shares (UK),Industrials,Major Chemicals,7.46,46.85
NEOG,Neogen Corporation Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,10.8,46.34
ALMS,Alumis Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,26.19,46.15
GOLD,Gold.com Inc. Common Stock,Industrials,Other Specialty Stores,55.32,46.04
VG,Venture Global Inc. Class A common stock,Utilities,Oil/Gas Transmission,9.9,45.16
SRI,Stoneridge Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,8.47,45.03
GPRE,Green Plains Inc. Common Stock,Industrials,Major Chemicals,13.85,44.72
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,Consumer Discretionary,Home Furnishings,6.85,44.51
UCTT,Ultra Clean Holdings Inc. Common Stock,Technology,Semiconductors,48.29,44.41
FORM,FormFactor Inc. FormFactor Inc. Common Stock,Technology,Semiconductors,90.29,43.96
ENPH,Enphase Energy Inc. Common Stock,Technology,Semiconductors,49.8,43.56
BKD,Brookdale Senior Living Inc. Common Stock,Health Care,Hospital/Nursing Management,16.12,43.29
IPGP,IPG Photonics Corporation Common Stock,Technology,Semiconductors,109.61,42.96
SLAB,Silicon Laboratories Inc. Common Stock,Technology,Semiconductors,206.5,42.66
IRD,Opus Genetics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.01,42.65
KRUS,Kura Sushi USA Inc. Class A Common Stock,Consumer Discretionary,Restaurants,79.29,42.51
SNCY,Sun Country Airlines Holdings Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,21.84,42.47
VIAV,Viavi Solutions Inc. Common Stock,Technology,Semiconductors,26.38,42.29
ARW,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,158.6,42.2
DXPE,DXP Enterprises Inc. Common Stock,Industrials,Industrial Machinery/Components,149.61,41.72
XPO,XPO Inc. Common Stock,Consumer Discretionary,Transportation Services,203.61,41.49
KG,Kestrel Group Ltd.,Finance,Property-Casualty Insurers,11.99,41.39
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components,282.58,41.37
GTE,Gran Tierra Energy Inc. Common Stock,Energy,Oil & Gas Production,5.48,41.24
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,1.16,41.12
REI,Ring Energy Inc. Common Stock,Energy,Oil & Gas Production,1.24,40.91
RRX,Regal Rexnord Corporation Common Stock,Consumer Discretionary,Metal Fabrications,211.8,40.8
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,551.99,40.5
TTMI,TTM Technologies Inc. Common Stock,Technology,Electrical Products,98.58,40.47
CC,Chemours Company (The) Common Stock,Industrials,Major Chemicals,18.32,40.17
VPG,Vishay Precision Group Inc. Common Stock,Technology,Electrical Products,55.98,39.85
ISPR,Ispire Technology Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,3.37,39.83
ORN,Orion Group Holdings Inc. Common,Industrials,Military/Government/Technical,14.13,39.62
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components,429.32,39.27
EGY,VAALCO Energy Inc.  Common Stock,Energy,Oil & Gas Production,4.84,39.08
BIOA,BioAge Labs Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,20.73,39.03
KGS,Kodiak Gas Services Inc. Common Stock,Utilities,Natural Gas Distribution,49.91,38.95
SHMD,SCHMID Group N.V. Class A Ordinary Shares,Technology,Industrial Machinery/Components,10.42,38.93
LQDA,Liquidia Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,43.04,38.88
GLW,Corning Incorporated Common Stock,Industrials,Telecommunications Equipment,122.16,38.83
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,Technology,Semiconductors,235.87,38.24
KMT,Kennametal Inc. Common Stock,Industrials,Industrial Machinery/Components,40.32,38.22
SKM,SK Telecom Co. Ltd. Common Stock,Telecommunications,Telecommunications Equipment,28.42,38.1
NXDT,NexPoint Diversified Real Estate Trust Common Stock,Real Estate,Real Estate Investment Trusts,4.77,37.86
ULCC,Frontier Group Holdings Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,6.52,37.84
THAR,Tharimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.14,37.54
AMPX,Amprius Technologies Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,12.24,37.53
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,15.51,37.38
CNTX,Context Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.28,37.35
TWI,Titan International Inc. (DE) Common Stock,Industrials,Steel/Iron Ore,11.06,37.22
MCRP,Micropolis AI Robotics Ordinary Shares,Consumer Discretionary,Auto Parts:O.E.M.,2.77,37.13
LGIH,LGI Homes Inc. Common Stock,Consumer Discretionary,Homebuilding,59.12,37.01
BUUU,BUUU Group Limited Class A Ordinary Share,Consumer Discretionary,Services-Misc. Amusement & Recreation,9.59,37.0
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.,26.46,36.74
NXT,Nextpower Inc. Class A Common Stock,Industrials,Industrial Machinery/Components,121.37,36.66
PLSE,Pulse Biosciences Inc Common Stock (DE),Health Care,Medical/Dental Instruments,20.75,36.51
ICHR,Ichor Holdings Ordinary Shares,Technology,Semiconductors,32.15,36.17
LASR,nLIGHT Inc. Common Stock,Technology,Semiconductors,51.12,36.14
WS,Worthington Steel Inc. Common Shares,Industrials,Steel/Iron Ore,47.7,36.09
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,Utilities,Natural Gas Distribution,11.99,35.94
AVT,Avnet Inc. Common Stock,Technology,Electronic Components,66.62,35.88
OCS,Oculis Holding AG Ordinary shares,Health Care,Biotechnology: Pharmaceutical Preparations,28.48,35.81
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors,41.57,35.67
NE,Noble Corporation plc A Ordinary Shares,Energy,Oil & Gas Production,39.2,35.55
DTI,Drilling Tools International Corporation Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,3.82,35.46
ASRT,Assertio Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,12.74,35.1
NX,Quanex Building Products Corporation Common Stock,Industrials,Metal Fabrications,21.29,35.09
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,Industrials,Aerospace,2.89,35.05
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,55.3,34.95
SILC,Silicom Ltd Ordinary Shares,Telecommunications,Computer Communications Equipment,20.52,34.91
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products,300.11,34.89
WEST,Westrock Coffee Company Common Stock,Consumer Staples,Beverages (Production/Distribution),5.0,34.77
TWST,Twist Bioscience Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),49.24,34.72
WLFC,Willis Lease Finance Corporation Common Stock,Consumer Discretionary,Industrial Specialties,200.18,34.61
PAHC,Phibro Animal Health Corporation Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,53.07,34.59
GRC,Gorman-Rupp Company (The) Common Stock,Industrials,Fluid Controls,65.7,34.36
USGO,U.S. GoldMining Inc. Common stock,Basic Materials,Precious Metals,12.53,34.08
ARCB,ArcBest Corporation Common Stock,Industrials,Trucking Freight/Courier Services,111.96,33.99
LIND,Lindblad Expeditions Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services,20.07,33.98
POCI,Precision Optics Corporation Inc. Common stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,5.64,33.97
MEI,Methode Electronics Inc. Common Stock,Technology,Electrical Products,9.09,33.8
PRT,PermRock Royalty Trust Units of Beneficial Interest,Energy,Oil & Gas Production,3.54,33.8
UA,Under Armour Inc. Class C Common Stock,Consumer Discretionary,Apparel,7.34,33.7
IMMX,Immix Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6.74,33.47
HLP,Hongli Group Inc. Ordinary Shares,Industrials,Industrial Machinery/Components,1.03,33.42
DNTH,Dianthus Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,50.75,33.24
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.57,33.21
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),Industrials,Agricultural Chemicals,4.99,33.07
PLXS,Plexus Corp. Common Stock,Technology,Electrical Products,206.22,32.99
CIGL,Concorde International Group Ltd Class A Ordinary Shares,Consumer Discretionary,Diversified Commercial Services,2.42,32.97
ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.53,32.93
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),Utilities,Oil/Gas Transmission,5.09,32.9
LBRT,Liberty Energy Inc. Class A common stock,Energy,Oilfield Services/Equipment,25.23,32.86
THR,Thermon Group Holdings Inc. Common Stock,Energy,Industrial Machinery/Components,50.42,32.82
TIGO,Millicom International Cellular S.A. Common Stock,Telecommunications,Telecommunications Equipment,66.95,32.78
RZLT,Rezolute Inc. Common Stock (NV),Health Care,Biotechnology: Pharmaceutical Preparations,3.12,32.77
ALTG,Alta Equipment Group Inc. Class A Common Stock,Industrials,Industrial Machinery/Components,7.35,32.67
MKSI,MKS Inc. Common Stock,Industrials,Industrial Machinery/Components,242.96,32.61
BE,Bloom Energy Corporation Class A Common Stock,Energy,Industrial Machinery/Components,143.03,32.44
PTLO,Portillo's Inc. Class A Common Stock,Consumer Discretionary,Restaurants,5.96,32.44
UAA,Under Armour Inc. Class A Common Stock,Consumer Discretionary,Apparel,7.56,32.17
STRO,Sutro Biopharma Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),15.52,32.09
ZBIO,Zenas BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,21.8,32.04
EGBN,Eagle Bancorp Inc. Common Stock,Finance,Major Banks,27.58,31.95
CTMX,CytomX Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.67,31.86
ATRO,Astronics Corporation Common Stock,Industrials,Military/Government/Technical,76.58,31.47
KLIC,Kulicke and Soffa Industries Inc. Common Stock,Technology,Semiconductors,70.92,31.36
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,62.48,31.26
SY,So-Young International Inc. American Depository Shares,Technology,EDP Services,3.36,31.25
ODC,Oil-Dri Corporation Of America Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries,64.31,31.19
CFBK,CF Bankshares Inc. Common Stock,Finance,Major Banks,33.31,31.17
SLGB,Smart Logistics Global Limited Ordinary Shares,Industrials,Integrated Freight & Logistics,1.6,31.15
PURR,Hyperliquid Strategies Inc Common Stock,Finance,Finance: Consumer Services,4.93,31.12
APOG,Apogee Enterprises Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,41.79,31.09
ARRY,Array Technologies Inc. Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries,11.86,31.05
PTEN,Patterson-UTI Energy Inc. Common Stock,Energy,Oil & Gas Production,8.66,31.01
DAR,Darling Ingredients Inc. Common Stock,Consumer Staples,Packaged Foods,48.2,30.98
CMTV,Community Bancorp. Common Stock,Finance,Major Banks,32.18,30.93
DWSN,Dawson Geophysical Company Common Stock,Energy,Oil & Gas Production,2.25,30.81
IPSC,Century Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.7,30.77
BHE,Benchmark Electronics Inc. Common Stock,Technology,Electrical Products,58.3,30.72
HOFT,Hooker Furnishings Corporation Common Stock,Consumer Discretionary,Home Furnishings,15.54,30.59
CRGY,Crescent Energy Company Class A Common Stock,Energy,Oil & Gas Production,10.12,30.58
VET,Vermilion Energy Inc. Common (Canada),Energy,Oil & Gas Production,10.21,30.4
TPL,Texas Pacific Land Corporation Common Stock,Energy,Oil & Gas Production,366.03,30.08
CVE,Cenovus Energy Inc Common Stock,Energy,Oil & Gas Production,20.57,29.78
EE,Excelerate Energy Inc. Class A Common Stock,Utilities,Oil/Gas Transmission,37.11,29.71
GROV,Grove Collaborative Holdings Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,1.53,29.66
JELD,JELD-WEN Holding Inc. Common Stock,Basic Materials,Forest Products,2.93,29.65
CLYM,Climb Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.44,29.52
CIA,Citizens Inc. Class A Common Stock ($1.00 Par),Finance,Life Insurance,5.98,29.44
TSQ,Townsquare Media Inc. Class A Common Stock,Consumer Discretionary,Broadcasting,6.63,29.42
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,Oilfield Services/Equipment,5.37,29.4
GNRC,Generac Holdlings Inc. Common Stock,Consumer Discretionary,Metal Fabrications,183.53,29.37
QVCGA,QVC Group Inc. Series A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,10.54,29.33
IMO,Imperial Oil Limited Common Stock,Energy,Integrated oil Companies,112.68,29.32
TGB,Taseko Mines Ltd. Common Stock,Basic Materials,Precious Metals,7.85,29.32
ANDE,Andersons Inc. (The) Common Stock,Industrials,Farming/Seeds/Milling,66.86,29.25
RUSHA,Rush Enterprises Inc. Common Stock Cl A,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,72.64,29.11
ATEX,Anterix Inc. Common Stock,Telecommunications,Telecommunications Equipment,28.39,29.1
OBE,Obsidian Energy Ltd. Common Shares,Energy,Oil & Gas Production,7.53,28.94
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Energy,Oil & Gas Production,14.87,28.86
WLK,Westlake Corporation Common Stock,Industrials,Major Chemicals,95.93,28.82
AUGO,Aura Minerals Inc. Common Shares,,,65.99,28.79
RILY,BRC Group Holdings Inc. Common Stock,Finance,Investment Managers,7.88,28.76
SYPR,Sypris Solutions Inc. Common Stock,Industrials,Industrial Machinery/Components,3.18,28.74
DSX,Diana Shipping inc. common stock,Consumer Discretionary,Marine Transportation,2.29,28.65
HSY,The Hershey Company Common Stock,Consumer Staples,Specialty Foods,231.53,28.58
STRL,Sterling Infrastructure Inc. Common Stock,Industrials,Military/Government/Technical,401.29,28.52
CE,Celanese Corporation Common Stock,Industrials,Major Chemicals,54.88,28.52
BGS,B&G Foods Inc. Common Stock,Consumer Staples,Packaged Foods,5.14,28.5
LFUS,Littelfuse Inc. Common Stock,Energy,Electrical Products,349.68,28.46
GFR,Greenfire Resources Ltd. Common Shares,Energy,Oil & Gas Production,5.74,28.41
LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oil & Gas Production,56.72,28.33
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,Semiconductors,1229.82,28.23
CASH,Pathward Financial Inc. Common Stock,Finance,Major Banks,93.72,28.23
DOW,Dow Inc. Common Stock ,Industrials,Major Chemicals,31.78,28.15
ELDN,Eledon Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.19,28.07
RIG,Transocean Ltd (Switzerland) Common Stock,Energy,Oil & Gas Production,5.39,28.03
MT,Arcelor Mittal NY Registry Shares NEW,Industrials,Steel/Iron Ore,61.3,28.03
HOV,Hovnanian Enterprises Inc. Class A Common Stock,Consumer Discretionary,Homebuilding,125.88,27.97
CLNE,Clean Energy Fuels Corp. Common Stock,Utilities,Natural Gas Distribution,2.75,27.91
NESR,National Energy Services Reunited Corp Ordinary Shares,Energy,Oilfield Services/Equipment,20.87,27.88
BXC,Bluelinx Holdings Inc. Common Stock,Consumer Discretionary,Wholesale Distributors,79.05,27.83
BBLGW,Bone Biologics Corp Warrants,Health Care,Industrial Specialties,18.79,27.82
CNQ,Canadian Natural Resources Limited Common Stock,Energy,Oil & Gas Production,39.1,27.82
BELFA,Bel Fuse Inc. Class A Common Stock,,,205.83,27.77
NEXA,Nexa Resources S.A. Common Shares,Basic Materials,Metal Mining,12.39,27.73
FCBC,First Community Bankshares Inc. (VA) Common Stock,Finance,Major Banks,41.31,27.7
DNOW,DNOW Inc. Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,16.76,27.65
HE,Hawaiian Electric Industries Inc. Common Stock,Utilities,Electric Utilities: Central,17.08,27.56
RRBI,Red River Bancshares Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,91.04,27.54
IBP,Installed Building Products Inc. Common Stock,Consumer Discretionary,Homebuilding,328.92,27.54
VIST,Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,Energy,Oil & Gas Production,55.94,27.48
CLMT,Calumet Inc. Common Stock,Energy,Integrated oil Companies,25.19,27.42
AHMA,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,Consumer Discretionary,Services-Misc. Amusement & Recreation,6.88,27.41
GFF,Griffon Corporation Common Stock,Industrials,Building Products,94.84,27.37
EPM,Evolution Petroleum Corporation Inc. Common Stock,Energy,Oil & Gas Production,4.1,27.33
QTTB,Q32 Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.24,27.33
LUV,Southwest Airlines Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,54.26,27.25
SND,Smart Sand Inc. Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),4.91,27.2
TII,Titan Mining Corporation Common Shares,,,3.93,27.18
DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production,43.81,27.1
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,Energy,Oil & Gas Production,26.99,27.07
USAR,USA Rare Earth Inc. Class A Common Stock,Basic Materials,Metal Mining,21.84,27.05
MAMA,Mama's Creations Inc. Common Stock,Consumer Staples,Specialty Foods,16.0,26.98
HLIO,Helios Technologies Inc. Common Stock,Industrials,Metal Fabrications,72.52,26.94
NVST,Envista Holdings Corporation Common Stock,Health Care,Medical/Dental Instruments,29.1,26.91
OPY,Oppenheimer Holdings Inc. Class A Common Stock (DE),Finance,Investment Bankers/Brokers/Service,92.48,26.88
CLPS,CLPS Incorporation Common Stock,Technology,Computer Software: Prepackaged Software,1.19,26.87
DVA,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,140.83,26.86
TRNS,Transcat Inc. Common Stock,Industrials,Electrical Products,76.33,26.77
MICC,The Magnum Ice Cream Company N.V. Ordinary Shares,Consumer Staples,Specialty Foods,19.22,26.7
USAS,Americas Gold and Silver Corporation Common Shares no par value,Basic Materials,Metal Mining,7.13,26.64
SCCO,Southern Copper Corporation Common Stock,Basic Materials,Metal Mining,200.04,26.54
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,Technology,Radio And Television Broadcasting And Communications Equipment,18.46,26.53
JBLU,JetBlue Airways Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services,6.36,26.44
MUX,McEwen Inc. Common Stock,Basic Materials,Precious Metals,25.26,26.43
AAUC,Allied Gold Corporation Common Shares,,,31.19,26.43
PSIX,Power Solutions International Inc. Common Stock,Industrials,Industrial Machinery/Components,80.97,26.42
PSIG,PS International Group Ltd. Ordinary Shares,Industrials,Integrated Freight & Logistics,5.56,26.36
NNBR,NN Inc. Common Stock,Industrials,Industrial Machinery/Components,1.63,26.36
UHG,United Homes Group Inc Class A Common Stock,Consumer Discretionary,Homebuilding,2.11,26.35
MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,Technology,Semiconductors,3.89,26.3
KELYA,Kelly Services Inc. Class A Common Stock,Consumer Discretionary,Professional Services,11.11,26.25
KMRK,K-Tech Solutions Company Limited Class A Ordinary Shares,Consumer Discretionary,Recreational Games/Products/Toys,1.78,26.24
AMN,AMN Healthcare Services Inc,Consumer Discretionary,Professional Services,20.3,26.24
PANL,Pangaea Logistics Solutions Ltd. Common Shares,Consumer Discretionary,Marine Transportation,8.71,26.23
EP,Empire Petroleum Corporation Common Stock,Energy,Oil & Gas Production,3.57,26.15
SCWO,374Water Inc. Common Stock,Consumer Discretionary,Metal Fabrications,3.09,26.12
MGN,Megan Holdings Limited Ordinary Shares,Consumer Staples,Farming/Seeds/Milling,1.89,26.0
AP,Ampco-Pittsburgh Corporation Common Stock,Industrials,Fluid Controls,6.79,25.97
TPB,Turning Point Brands Inc. Common Stock,Consumer Discretionary,Tobacco,129.97,25.88
