티커,종목명,섹터,산업,현재가,수익률(%)
ANL,Adlai Nortye Ltd. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,10.01,600.0
BNAI,Brand Engagement Network Inc. Common Stock,Technology,EDP Services,22.45,497.07
CGTL,Creative Global Technology Holdings Limited Class A Ordinary Shares,Technology,Retail: Computer Software & Peripheral Equipment,4.59,295.69
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Consumer Discretionary,Other Consumer Services,81.98,238.06
NAMM,Namib Minerals Ordinary Shares,Basic Materials,Precious Metals,3.21,227.55
LVLU,Lulu's Fashion Lounge Holdings Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,18.26,206.38
OPTX,Syntec Optics Holdings Inc. Class A Common Stock,Technology,Electronic Components,8.72,195.59
CRVS,Corvus Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,20.46,188.17
IBRX,ImmunityBio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6.05,175.0
TYGO,Tigo Energy Inc. Common Stock,Technology,Semiconductors,4.02,157.69
YI,111 Inc. American Depositary Shares,Consumer Staples,Retail-Drug Stores and Proprietary Stores,7.4,155.17
KELYB,Kelly Services Inc. Class B Common Stock,Consumer Discretionary,Professional Services,21.87,146.84
BATL,Battalion Oil Corporation Common Stock,Energy,Oil & Gas Production,2.81,140.17
ERAS,Erasca Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,12.29,137.72
SPHL,Springview Holdings Ltd Class A Ordinary Shares,Consumer Discretionary,Homebuilding,4.9,122.73
LSTA,Lisata Therapeutics Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,4.54,115.17
ONEG,OneConstruction Group Limited Ordinary Shares,Consumer Discretionary,Homebuilding,4.91,111.64
ROLR,High Roller Technologies Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,5.29,103.46
JFB,JFB Construction Holdings Class A Common Stock,Consumer Discretionary,General Bldg Contractors - Nonresidential Bldgs,30.09,100.77
LIMN,Liminatus Pharma Inc. Class A Common Stock,,,1.84,95.74
ELVN,Enliven Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,29.42,90.17
RFIL,RF Industries Ltd. Common Stock,Technology,Electrical Products,11.41,89.85
ATLN,Atlantic International Corp. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,3.45,89.56
BLNE,Beeline Holdings Inc. Common Stock,Finance,Finance: Consumer Services,3.3,80.33
MOD,Modine Manufacturing Company Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,215.72,80.25
RAPT,RAPT Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,57.69,77.95
POAS,Phaos Technology Holdings (Cayman) Limited Class A Ordinary Shares,Industrials,Industrial Machinery/Components,6.02,76.02
BDSX,Biodesix Inc. Common Stock,Health Care,Medical Specialities,10.38,74.16
ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.05,73.73
PLAG,Planet Green Holdings Corp. Common Stock,Consumer Staples,Packaged Foods,4.05,73.08
STKL,SunOpta Inc. Common Stock,Industrials,Farming/Seeds/Milling,6.4,72.97
TRX,TRX Gold Corporation Common Stock,Basic Materials,Precious Metals,1.59,72.83
RILYP,BRC Group Holdings Inc. Depositary Shares each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock,Finance,Investment Managers,9.9,72.47
PZG,Paramount Gold Nevada Corp. Common Stock,Basic Materials,Metal Mining,1.96,71.93
ROMA,Roma Green Finance Limited Class A Ordinary Shares,Consumer Discretionary,Professional Services,2.23,71.54
GORO,Gold Resource Corporation Common Stock,Basic Materials,Precious Metals,1.59,69.15
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,597.95,69.12
ODYS,Odysight.ai Inc. Common Stock,Technology,Electronic Components,5.98,67.04
SNBR,Sleep Number Corporation Common Stock,Consumer Discretionary,Home Furnishings,11.94,65.83
POWL,Powell Industries Inc. Common Stock,Energy,Electrical Products,584.22,64.18
CATX,Perspective Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments,4.71,64.11
