티커,종목명,섹터,산업,현재가,수익률(%)
IMMX,Immix Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,8.17,51.58
CNTN,Canton Strategic Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.89,51.39
ESOA,Energy Services of America Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,13.56,51.17
KPTI,Karyopharm Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,10.03,50.83
EDRY,EuroDry Ltd. Common Shares ,Consumer Discretionary,Marine Transportation,19.85,50.2
MOD,Modine Manufacturing Company Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,222.5,49.84
LEE,Lee Enterprises Incorporated Common Stock,Consumer Discretionary,Newspapers/Magazines,8.35,49.37
AP,Ampco-Pittsburgh Corporation Common Stock,Industrials,Fluid Controls,8.77,48.9
CIEN,Ciena Corporation Common Stock,Utilities,Telecommunications Equipment,344.84,48.49
ZEO,Zeo Energy Corporation Class A Common Stock,Miscellaneous,Industrial Machinery/Components,1.51,48.04
INNV,InnovAge Holding Corp. Common Stock,Health Care,Medical/Nursing Services,8.92,47.68
TPL,Texas Pacific Land Corporation Common Stock,Energy,Oil & Gas Production,502.85,47.14
FIEE,FiEE Inc Common Stock,Utilities,Telecommunications Equipment,6.97,47.05
HSHP,Himalaya Shipping Ltd. Common Shares,Consumer Discretionary,Marine Transportation,13.84,46.82
PZG,Paramount Gold Nevada Corp. Common Stock,Basic Materials,Metal Mining,2.51,45.93
PKST,Peakstone Realty Trust Common Shares,Real Estate,Real Estate Investment Trusts,20.84,45.43
EWCZ,European Wax Center Inc. Class A Common Stock,Consumer Discretionary,Other Consumer Services,5.71,45.29
SLAB,Silicon Laboratories Inc. Common Stock,Technology,Semiconductors,204.2,45.22
ATYR,aTyr Pharma Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.01,44.08
CGNX,Cognex Corporation Common Stock,Industrials,Industrial Machinery/Components,56.47,43.43
RRX,Regal Rexnord Corporation Common Stock,Consumer Discretionary,Metal Fabrications,218.21,42.83
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,666.49,41.57
SLGL,Sol-Gel Technologies Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,80.9,41.09
PLSE,Pulse Biosciences Inc Common Stock (DE),Health Care,Medical/Dental Instruments,20.19,40.99
EVMN,Evommune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,27.59,40.91
DVA,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services,151.28,40.71
TNDM,Tandem Diabetes Care Inc. Common Stock,Health Care,Medical/Dental Instruments,28.26,39.9
CNVS,Cineverse Corp. Class A Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains,3.11,39.46
UCTT,Ultra Clean Holdings Inc. Common Stock,Technology,Semiconductors,61.41,39.41
FF,FutureFuel Corp.  Common shares,Industrials,Major Chemicals,4.58,38.79
ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.08,37.75
PTN,Palatin Technologies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,22.48,37.75
SHIP,Seanergy Maritime Holdings Corp. Common Stock,Consumer Discretionary,Marine Transportation,13.55,37.56
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products,318.5,37.49
VIAV,Viavi Solutions Inc. Common Stock,Technology,Semiconductors,27.37,37.4
TPH,Tri Pointe Homes Inc. Common Stock,Consumer Discretionary,Homebuilding,46.33,36.91
SYRE,Spyre Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,44.18,36.82
PRLD,Prelude Therapeutics Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.77,36.45
GNRC,Generac Holdlings Inc. Common Stock,Consumer Discretionary,Metal Fabrications,227.45,36.11
KMRK,K-Tech Solutions Company Limited Class A Ordinary Shares,Consumer Discretionary,Recreational Games/Products/Toys,2.08,35.95
ARW,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,159.66,35.6
ERAS,Erasca Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,13.02,35.48
VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components,245.42,35.42
STKL,SunOpta Inc. Common Stock,Industrials,Farming/Seeds/Milling,6.4,35.31
ZBIO,Zenas BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,26.14,35.3
FET,Forum Energy Technologies Inc. Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,58.6,35.24
XPO,XPO Inc. Common Stock,Consumer Discretionary,Transportation Services,201.18,35.21
FOSL,Fossil Group Inc. Common Stock,Consumer Discretionary,Consumer Specialties,4.77,35.13
CLMT,Calumet Inc. Common Stock,Energy,Integrated oil Companies,29.0,35.07
JLHL,Julong Holding Limited Class A Ordinary Shares,Consumer Discretionary,Military/Government/Technical,5.46,34.81
EKSO,Ekso Bionics Holdings Inc. Common Stock,Industrials,Industrial Machinery/Components,10.64,34.34
DHX,DHI Group Inc. Common Stock,Real Estate,Real Estate,2.4,34.08
PSIG,PS International Group Ltd. Ordinary Shares,Industrials,Integrated Freight & Logistics,5.64,33.65
ALM,Almonty Industries Inc. Common Shares,Basic Materials,Other Metals and Minerals,15.47,33.59
NAUT,Nautilus Biotechnology Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,2.7,33.0
FLXS,Flexsteel Industries Inc. Common Stock,Consumer Discretionary,Home Furnishings,52.7,32.48
UI,Ubiquiti Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,726.3,32.44
WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),Finance,Commercial Banks,82.0,32.22
CCSI,Consensus Cloud Solutions Inc. Common Stock,Technology,Computer Software: Prepackaged Software,29.22,32.1
CODA,Coda Octopus Group Inc. Common stock,Industrials,Industrial Machinery/Components,13.83,31.84
DHT,DHT Holdings Inc.,Consumer Discretionary,Marine Transportation,17.53,31.66
TRX,TRX Gold Corporation Common Stock,Basic Materials,Precious Metals,1.83,31.65
FRO,Frontline Plc Ordinary Shares,Consumer Discretionary,Marine Transportation,35.09,31.52
ADAG,Adagene Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,3.22,31.43
CAMP,CAMP4 Therapeutics Corporation Common Stock,,,4.52,31.4
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,Consumer Staples,Beverages (Production/Distribution),13.16,31.34
AVT,Avnet Inc. Common Stock,Technology,Electronic Components,67.27,30.93
HPK,HighPeak Energy Inc. Common Stock,Energy,Oil & Gas Production,5.17,30.89
SRZN,Surrozen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),26.58,30.78
KG,Kestrel Group Ltd.,Finance,Property-Casualty Insurers,13.21,30.66
ELWT,Elauwit Connection Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment,6.69,30.66
PAHC,Phibro Animal Health Corporation Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,51.52,30.5
GCTS,GCT Semiconductor Holding Inc. Common Stock,Technology,Semiconductors,1.29,30.3
SFL,SFL Corporation Ltd,Consumer Discretionary,Marine Transportation,10.72,30.26
RIG,Transocean Ltd (Switzerland) Common Stock,Energy,Oil & Gas Production,6.39,30.14
BORR,Borr Drilling Limited Common Shares,Energy,Oil & Gas Production,5.8,30.04
FORM,FormFactor Inc. FormFactor Inc. Common Stock,Technology,Semiconductors,96.12,29.89
LPG,Dorian LPG Ltd. Common Stock,Consumer Discretionary,Marine Transportation,34.65,29.83
GOLD,Gold.com Inc. Common Stock,Industrials,Other Specialty Stores,56.98,29.65
AXR,AMREP Corporation Common Stock,Real Estate,Homebuilding,27.06,29.6
ECO,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation,49.99,29.21
GERN,Geron Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.77,29.2
ASIC,Ategrity Specialty Insurance Company Holdings Common Stock,Finance,Property-Casualty Insurers,22.96,29.13
ATI,ATI Inc. Common Stock,Industrials,Steel/Iron Ore,159.27,29.11
NESR,National Energy Services Reunited Corp Ordinary Shares,Energy,Oilfield Services/Equipment,26.05,28.58
NE,Noble Corporation plc A Ordinary Shares,Energy,Oil & Gas Production,45.26,28.58
POWL,Powell Industries Inc. Common Stock,Energy,Electrical Products,544.15,28.57
AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products,34.32,28.16
ACH,Accendra Health Inc. Common Stock,Health Care,Medical Specialities,2.6,28.08
DAKT,Daktronics Inc. Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries,27.5,27.97
OII,Oceaneering International Inc. Common Stock,Energy,Oilfield Services/Equipment,37.22,27.95
TDW,Tidewater Inc. Common Stock,Consumer Discretionary,Marine Transportation,78.91,27.91
SOLS,Solstice Advanced Materials Inc. Common Stock ,Industrials,Aerospace,78.55,27.74
TRNS,Transcat Inc. Common Stock,Industrials,Electrical Products,78.0,27.37
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,65.12,27.36
WTF,Waton Financial Limited Ordinary Shares,Finance,Investment Bankers/Brokers/Service,4.81,27.25
POWW,Outdoor Holding Company Common Stock,Industrials,Ordnance And Accessories,2.15,27.22
LFUS,Littelfuse Inc. Common Stock,Energy,Electrical Products,368.38,27.09
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,Utilities,Electric Utilities: Central,71.68,26.98
CURR,Currenc Group Inc. Ordinary Shares,Real Estate,Real Estate,2.08,26.83
EHAB,Enhabit Inc. Common Stock,Health Care,Medical/Nursing Services,13.6,26.75
CABO,Cable One Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services,99.91,26.73
WTI,W&T Offshore Inc. Common Stock,Energy,Oil & Gas Production,2.61,26.7
SRI,Stoneridge Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,7.98,26.67
VRE,Veris Residential Inc. Common Stock,Real Estate,Real Estate Investment Trusts,18.81,26.67
BDSX,Biodesix Inc. Common Stock,Health Care,Medical Specialities,12.77,26.56
HAFN,Hafnia Limited Common Shares,Consumer Discretionary,Transportation Services,7.26,26.48
OCC,Optical Cable Corporation Common Stock,Industrials,Telecommunications Equipment,5.54,26.48
ASC,Ardmore Shipping Corporation Common Stock,Consumer Discretionary,Marine Transportation,14.96,26.35
LBRT,Liberty Energy Inc. Class A common stock,Energy,Oilfield Services/Equipment,26.64,26.26
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services,383.71,26.03
LINC,Lincoln Educational Services Corporation Common Stock,Real Estate,Other Consumer Services,33.04,25.96
COHR,Coherent Corp. Common Stock,Technology,Electronic Components,248.89,25.85
CPS,Cooper-Standard Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,39.48,25.85
RNG,RingCentral Inc. Class A Common Stock,Technology,EDP Services,34.58,25.84
ATNI,ATN International Inc. Common Stock,Telecommunications,Telecommunications Equipment,28.37,25.53
LASR,nLIGHT Inc. Common Stock,Technology,Semiconductors,54.7,25.52
CRBU,Caribou Biosciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.92,25.49
VZ,Verizon Communications Inc. Common Stock,Telecommunications,Telecommunications Equipment,49.68,25.39
FIX,Comfort Systems USA Inc. Common Stock,Industrials,Engineering & Construction,1413.57,25.37
RAIL,FreightCar America Inc. Common Stock,Industrials,Railroads,14.34,25.24
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components,646.84,25.23
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components,329.24,25.17
TK,Teekay Corporation Ltd. Common Stock,Consumer Discretionary,Marine Transportation,12.05,25.13
STNG,Scorpio Tankers Inc. Common Shares,Consumer Discretionary,Marine Transportation,71.8,25.09
TIL,Instil Bio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),8.84,25.04
MOLN,Molecular Partners AG American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5.0,25.0
MASI,Masimo Corporation Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,175.25,25.0
MAYS,J. W. Mays Inc. Common Stock,Real Estate,Building operators,50.0,25.0
AGX,Argan Inc. Common Stock,Consumer Discretionary,Engineering & Construction,441.71,24.95
MT,Arcelor Mittal NY Registry Shares NEW,Industrials,Steel/Iron Ore,66.83,24.93
GEV,GE Vernova Inc. Common Stock,,,831.7,24.88
ESE,ESCO Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment,277.04,24.84
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,Consumer Discretionary,Marine Transportation,28.66,24.83
MCW,Mister Car Wash Inc. Common Stock,Consumer Discretionary,Automotive Aftermarket,6.99,24.82
CYD,China Yuchai International Limited Common Stock,Industrials,Industrial Machinery/Components,55.03,24.7
GRC,Gorman-Rupp Company (The) Common Stock,Industrials,Fluid Controls,64.52,24.6
LIND,Lindblad Expeditions Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services,20.02,24.5
AUTL,Autolus Therapeutics plc American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.73,24.46
KYMR,Kymera Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),88.43,24.44
COKE,Coca-Cola Consolidated Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),185.3,24.23
JCI,Johnson Controls International plc Ordinary Share,Industrials,Industrial Machinery/Components,142.83,24.12
KGS,Kodiak Gas Services Inc. Common Stock,Utilities,Natural Gas Distribution,50.28,24.05
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.58,24.04
LGCY,Legacy Education Inc. Common Stock,Real Estate,Other Consumer Services,12.75,23.91
STOK,Stoke Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,36.23,23.86
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,Consumer Discretionary,Home Furnishings,7.79,23.85
VALN,Valneva SE American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),11.44,23.81
SAGT,SAGTEC GLOBAL LIMITED Class A Ordinary shares,Technology,Computer Software: Prepackaged Software,2.46,23.68
LBTYB,Liberty Global Ltd. Class B Common Shares,Telecommunications,Cable & Other Pay Television Services,13.35,23.61
BDC,Belden Inc Common Stock,Industrials,Telecommunications Equipment,144.89,23.39
EGHT,8x8 Inc Common Stock,Technology,EDP Services,2.11,23.39
TRN,Trinity Industries Inc. Common Stock,Industrials,Railroads,34.6,23.13
THC,Tenet Healthcare Corporation Common Stock,Health Care,Hospital/Nursing Management,233.77,23.09
DWSN,Dawson Geophysical Company Common Stock,Energy,Oil & Gas Production,2.72,23.08
SPB,Spectrum Brands Holdings Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,78.91,23.04
SKM,SK Telecom Co. Ltd. Common Stock,Telecommunications,Telecommunications Equipment,30.48,22.9
OVV,Ovintiv Inc. (DE),Energy,Oil & Gas Production,50.83,22.9
CBAT,CBAK Energy Technology Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,1.02,22.89
SILC,Silicom Ltd Ordinary Shares,Telecommunications,Computer Communications Equipment,19.51,22.86
SEV,Aptera Motors Corp. Class B Common Stock,Industrials,Auto Manufacturing,1.83,22.82
IRD,Opus Genetics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.45,22.78
FATE,Fate Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.51,22.76
CDNL,Cardinal Infrastructure Group Inc. Class A Common Stock,Industrials,Military/Government/Technical,33.76,22.63
MI,NFT Limited Class A Ordinary Share,Consumer Discretionary,Other Specialty Stores,4.94,22.62
ESI,Element Solutions Inc. Common Stock,Industrials,Major Chemicals,36.17,22.61
AQST,Aquestive Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.97,22.53
RBKB,Rhinebeck Bancorp Inc. Common Stock,Finance,Banks,15.12,22.53
BWLP,BW LPG Limited Common Shares,Consumer Discretionary,Transportation Services,17.35,22.44
BGS,B&G Foods Inc. Common Stock,Consumer Staples,Packaged Foods,5.32,22.3
MBIN,Merchants Bancorp Common Stock,Finance,Major Banks,43.23,22.26
CLYM,Climb Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.83,22.22
ROIV,Roivant Sciences Ltd. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,27.76,22.13
CENT,Central Garden & Pet Company Common Stock,Consumer Discretionary,Consumer Specialties,39.39,21.95
AGH,Aureus Greenway Holdings Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,4.12,21.89
TS,Tenaris S.A. American Depositary Shares,Industrials,Steel/Iron Ore,53.57,21.83
ADCT,ADC Therapeutics SA Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,4.41,21.82
DAR,Darling Ingredients Inc. Common Stock,Consumer Staples,Packaged Foods,51.64,21.79
NAT,Nordic American Tankers Limited Common Stock,Consumer Discretionary,Marine Transportation,4.92,21.78
BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,58.17,21.77
GLBS,Globus Maritime Limited Common Stock,Consumer Discretionary,Marine Transportation,2.07,21.76
PCG,Pacific Gas & Electric Co. Common Stock,Utilities,Power Generation,18.48,21.66
PXS,Pyxis Tankers Inc. Common Stock,Consumer Discretionary,Marine Transportation,3.82,21.66
FN,Fabrinet Ordinary Shares,Utilities,Telecommunications Equipment,576.71,21.64
T,AT&T Inc.,Telecommunications,Telecommunications Equipment,28.52,21.62
SSL,Sasol Ltd. American Depositary Shares,Energy,Oil & Gas Production,8.77,21.47
FDMT,4D Molecular Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),9.68,21.46
EE,Excelerate Energy Inc. Class A Common Stock,Utilities,Oil/Gas Transmission,42.38,21.43
GTES,Gates Industrial Corporation plc Ordinary Shares,Industrials,Industrial Machinery/Components,27.74,21.4
BLBD,Blue Bird Corporation Common Stock,Consumer Discretionary,Construction/Ag Equipment/Trucks,60.58,21.27
TPR,Tapestry Inc. Common Stock,Consumer Discretionary,Apparel,152.97,21.23
TAYD,Taylor Devices Inc. Common Stock,Industrials,Industrial Machinery/Components,87.0,21.2
TEN,Tsakos Energy Navigation Ltd Common Shares,Consumer Discretionary,Marine Transportation,31.79,21.15
CMBT,CMB.TECH NV Ordinary Shares,Consumer Discretionary,Marine Transportation,14.17,21.11
EIX,Edison International Common Stock,Utilities,Electric Utilities: Central,74.65,21.11
CRI,Carter's Inc. Common Stock,Consumer Discretionary,Apparel,42.63,21.11
VTRS,Viatris Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,15.95,21.11
LUV,Southwest Airlines Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,50.9,21.1
TRGP,Targa Resources Inc. Common Stock,Utilities,Natural Gas Distribution,231.87,21.04
ETON,Eton Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,18.28,20.98
CTNM,Contineum Therapeutics Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,15.64,20.87
CING,Cingulate Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6.09,20.83
SIMO,Silicon Motion Technology Corporation American Depositary Shares,Technology,Semiconductors,136.16,20.8
HLX,Helix Energy Solutions Group Inc. Common Stock,Energy,Oilfield Services/Equipment,9.07,20.77
HLP,Hongli Group Inc. Ordinary Shares,Industrials,Industrial Machinery/Components,1.03,20.75
BKD,Brookdale Senior Living Inc. Common Stock,Health Care,Hospital/Nursing Management,15.44,20.72
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,Finance,Major Banks,69.92,20.72
MEC,Mayville Engineering Company Inc. Common Stock,Industrials,Industrial Specialties,21.82,20.62
PLBY,Playboy Inc. Common Stock,Consumer Discretionary,Other Specialty Stores,2.05,20.59
UAA,Under Armour Inc. Class A Common Stock,Consumer Discretionary,Apparel,7.62,20.57
NVST,Envista Holdings Corporation Common Stock,Health Care,Medical/Dental Instruments,28.98,20.5
FOR,Forestar Group Inc Common Stock ,Finance,Real Estate,29.52,20.49
ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,103.69,20.39
JAKK,JAKKS Pacific Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,22.52,20.36
STRL,Sterling Infrastructure Inc. Common Stock,Industrials,Military/Government/Technical,434.64,20.33
SMHI,SEACOR Marine Holdings Inc. Common Stock ,Consumer Discretionary,Marine Transportation,7.77,20.28
PR,Permian Resources Corporation Class A Common Stock,Energy,Oil & Gas Production,17.75,20.26
MTDR,Matador Resources Company Common Stock,Energy,Oil & Gas Production,51.16,20.24
ENPH,Enphase Energy Inc. Common Stock,Technology,Semiconductors,47.4,20.24
ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management,214.17,20.22
KB,KB Financial Group Inc,Finance,Commercial Banks,114.39,20.21
CCO,Clear Channel Outdoor Holdings Inc. Common Stock,Consumer Discretionary,Advertising,2.38,20.2
GPRE,Green Plains Inc. Common Stock,Industrials,Major Chemicals,13.84,20.14
MGA,Magna International Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,63.9,20.09
DK,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,33.25,20.08
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Staples,Beverages (Production/Distribution),107.49,20.03
KNF,Knife Riv Holding Co. Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),87.47,20.02
KLIC,Kulicke and Soffa Industries Inc. Common Stock,Technology,Semiconductors,69.08,20.01
TOYO,TOYO Co. Ltd Ordinary Shares,Consumer Discretionary,Miscellaneous manufacturing industries,8.04,20.0
