티커,종목명,섹터,산업,현재가,수익률(%)
NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Consumer Discretionary,Apparel,6.96,550.47
SNSE,Sensei Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,32.63,220.85
ANL,Adlai Nortye Ltd. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,9.98,211.87
BBLGW,Bone Biologics Corp Warrants,Health Care,Industrial Specialties,35.95,148.62
CATX,Perspective Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments,5.6,116.22
SIF,SIFCO Industries Inc. Common Stock,Industrials,Aerospace,13.15,114.52
ATOM,Atomera Incorporated Common Stock,Technology,Semiconductors,5.99,110.74
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,674.73,102.96
NKTR,Nektar Therapeutics  Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,73.62,98.01
RXT,Rackspace Technology Inc. Common Stock,Technology,Computer Software: Programming Data Processing,1.49,95.54
BUUU,BUUU Group Limited Class A Ordinary Share,Consumer Discretionary,Services-Misc. Amusement & Recreation,15.5,91.36
CBUS,Cibus Inc. Class A Common Stock,Industrials,Agricultural Chemicals,3.27,90.12
HURA,TuHURA Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.24,87.88
PMN,ProMIS Neurosciences Inc. Common Shares (ON),Health Care,Biotechnology: Pharmaceutical Preparations,15.79,76.03
FSLY,Fastly Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,17.0,73.82
NMRA,Neumora Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3.45,69.12
YI,111 Inc. American Depositary Shares,Consumer Staples,Retail-Drug Stores and Proprietary Stores,8.38,67.27
ICHR,Ichor Holdings Ordinary Shares,Technology,Semiconductors,51.09,67.02
ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),113.75,65.94
BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,Health Care,Medical/Dental Instruments,1.7,65.05
ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.42,63.51
KOS,Kosmos Energy Ltd. Common Shares (DE),Energy,Oil & Gas Production,2.06,62.2
BRLS,Borealis Foods Inc. Class A Common Shares,Consumer Staples,Packaged Foods,1.57,61.86
VAL,Valaris Limited Common Shares,Energy,Oil & Gas Production,93.5,61.57
OIS,Oil States International Inc. Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,13.52,59.81
AXTI,AXT Inc Common Stock,Technology,Semiconductors,28.43,59.72
IBRX,ImmunityBio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),9.83,58.29
MTC,MMTec Inc. Common Shares,Technology,Computer Software: Prepackaged Software,4.41,56.38
ARMP,Armata Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),9.54,55.88
NERV,Minerva Neurosciences Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6.32,55.28
BOF,BranchOut Food Inc. Common Stock,Consumer Staples,Packaged Foods,4.4,54.93
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,53.96,54.66
ATEX,Anterix Inc. Common Stock,Telecommunications,Telecommunications Equipment,36.31,54.51
QVCGP,QVC Group Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock,Consumer Discretionary,Catalog/Specialty Distribution,5.9,53.25
IPGP,IPG Photonics Corporation Common Stock,Technology,Semiconductors,134.58,52.98
GLW,Corning Incorporated Common Stock,Industrials,Telecommunications Equipment,145.25,52.98
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3.14,52.43
EQ,Equillium Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.85,51.64
