티커,종목명,섹터,산업,현재가,수익률(%)
VG,Venture Global Inc. Class A common stock,Utilities,Oil/Gas Transmission,16.92,81.27
ALTO,Alto Ingredients Inc. Common Stock,Industrials,Major Chemicals,4.34,80.08
DAWN,Day One Biopharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,21.36,77.75
TMDE,TMD Energy Limited Ordinary Shares,Energy,Oil Refining/Marketing,1.34,77.29
SOC,Sable Offshore Corp. Common Stock,Energy,Oil & Gas Production,16.48,76.26
CURV,Torrid Holdings Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,1.82,75.13
KORE,KORE Group Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment,8.99,74.56
AMPX,Amprius Technologies Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,18.55,71.76
AHG,Akso Health Group ADS,Real Estate,Real Estate,2.4,71.43
CRCL,Circle Internet Group Inc. Class A Common Stock,Finance,Finance: Consumer Services,103.92,69.33
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Medical/Nursing Services,2.9,68.12
PRAA,PRA Group Inc. Common Stock,Finance,Finance: Consumer Services,18.19,68.11
YOU,Clear Secure Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,55.68,67.63
ZD,Ziff Davis Inc. Common Stock,Telecommunications,Telecommunications Equipment,43.91,65.64
SATL,Satellogic Inc. Class A Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,5.33,65.02
BRAI,Braiin Limited Common Stock,Technology,EDP Services,22.59,63.72
OVID,Ovid Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.46,63.25
PSNYW,Polestar Automotive Holding UK PLC Class C-1 ADS (ADW),Industrials,Auto Manufacturing,5.3,61.09
FSLY,Fastly Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,28.33,60.33
MGNX,MacroGenics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.77,60.12
DTIL,Precision BioSciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6.39,59.75
WATT,Energous Corporation Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,18.42,59.2
POAS,Phaos Technology Holdings (Cayman) Limited Class A Ordinary Shares,Industrials,Industrial Machinery/Components,1.56,57.58
BODI,The Beachbody Company Inc. Class A Common Stock,Consumer Discretionary,Other Consumer Services,11.47,57.53
QTTB,Q32 Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,7.07,57.11
LONA,LeonaBio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),9.32,56.99
LCUT,Lifetime Brands Inc. Common Stock,Consumer Discretionary,Industrial Machinery/Components,5.32,56.47
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Industrials,Building Products,14.31,55.88
CVI,CVR Energy Inc. Common Stock,Energy,Integrated oil Companies,33.78,55.6
LXU,LSB Industries Inc. Common Stock,Basic Materials,Major Chemicals,15.58,54.87
CMBM,Cambium Networks Corporation Ordinary Shares,Technology,Radio And Television Broadcasting And Communications Equipment,1.84,54.61
SPIR,Spire Global Inc. Class A Common Stock,Consumer Discretionary,Telecommunications Equipment,13.67,54.3
CTW,CTW Cayman Class A Ordinary Shares,Technology,EDP Services,2.23,53.79
RLYB,Rallybio Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,8.92,53.0
KVHI,KVH Industries Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,9.14,52.51
RYAM,Rayonier Advanced Materials Inc. Common Stock,Basic Materials,Paper,10.93,52.44
CDXS,Codexis Inc. Common Stock,Industrials,Major Chemicals,1.67,50.51
TSSI,TSS Inc. Common Stock,Consumer Discretionary,Professional Services,12.72,50.47
INTT,inTest Corporation Common Stock,Industrials,Electrical Products,14.9,50.1
TNGX,Tango Therapeutics Inc.,Health Care,Biotechnology: Pharmaceutical Preparations,19.21,49.15
PARR,Par Pacific Holdings Inc.  Common Stock,Energy,Oil & Gas Production,61.19,49.13
YDDL,One and One Green Technologies. Inc Class A Ordinary Shares,Consumer Discretionary,Industrial Specialties,10.19,49.12
MANE,Veradermics Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,64.65,47.64
SER,Serina Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.46,47.31
CCLD,CareCloud Inc. Common Stock,Technology,Computer Software: Prepackaged Software,3.52,47.07
TAOX,Tao Synergies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6.03,46.36
OKUR,OnKure Therapeutics Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.73,46.27
DNTH,Dianthus Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,77.28,46.19
JVA,Coffee Holding Co. Inc. Common Stock,Consumer Staples,Packaged Foods,4.62,45.9
TONX,TON Strategy Company Common Stock,Consumer Discretionary,Other Consumer Services,2.65,45.6
BFLY,Butterfly Network Inc. Class A Common Stock,Health Care,Medical Electronics,4.28,45.12
WAVE,Eco Wave Power Global AB (publ) American Depositary Shares,Utilities,Electric Utilities: Central,6.9,44.65
YSXT,YSX Tech. Co. Ltd Class A Ordinary Shares,Consumer Discretionary,Automotive Aftermarket,1.59,44.55
HCHL,Happy City Holdings Limited Class A Ordinary shares,Consumer Discretionary,Restaurants,1.46,44.55
SEV,Aptera Motors Corp. Class B Common Stock,Industrials,Auto Manufacturing,2.86,44.44
AGRO,Adecoagro S.A. Common Shares,Consumer Staples,Farming/Seeds/Milling,13.2,44.42
WYY,WidePoint Corporation Common Stock,Technology,EDP Services,5.71,44.22
CV,CapsoVision Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,7.13,44.04
LFMD,LifeMD Inc. Common Stock,Health Care,Medical/Nursing Services,3.84,43.82
APA,APA Corporation Common Stock,Energy,Oil & Gas Production,41.03,43.38
SSL,Sasol Ltd. American Depositary Shares,Energy,Oil & Gas Production,12.76,43.15
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing,171.12,42.87
RLMD,Relmada Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6.09,42.84
TSEM,Tower Semiconductor Ltd. Ordinary Shares,Technology,Semiconductors,179.62,42.55
HIT,Health In Tech Inc. Class A Common Stock,Finance,Specialty Insurers,1.71,42.5
STI,Solidion Technology Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,5.4,42.48
PBF,PBF Energy Inc. Class A Common Stock,Energy,Integrated oil Companies,49.4,41.89
CITR,CitroTech Inc. Common Stock,Industrials,Environmental Services,9.76,41.45
LICN,Lichen International Limited Class A Ordinary Shares,Consumer Discretionary,Professional Services,4.36,41.33
ASST,Strive Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,10.12,41.24
HIMS,Hims & Hers Health Inc. Class A Common Stock,Health Care,Medical/Nursing Services,21.82,41.14
TH,Target Hospitality Corp. Common Stock,Consumer Discretionary,Hotels/Resorts,9.4,41.0
NRXS,Neuraxis Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,7.06,40.92
PRE,Prenetics Global Limited Class A Ordinary Share,Finance,Blank Checks,22.31,40.28
HURA,TuHURA Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.96,40.0
STTK,Shattuck Labs Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.96,39.25
MTC,MMTec Inc. Common Shares,Technology,Computer Software: Prepackaged Software,6.49,39.08
TECX,Tectonic Therapeutic Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),29.67,38.99
SM,SM Energy Company Common Stock,Energy,Oil & Gas Production,30.94,38.93
IBTA,Ibotta Inc. Class A Common Stock,Consumer Discretionary,Advertising,28.54,38.88
GTE,Gran Tierra Energy Inc. Common Stock,Energy,Oil & Gas Production,8.58,38.83
FBYD,Falcon's Beyond Global Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,6.9,38.55
NRC,National Research Corporation Common Stock (Delaware),Health Care,Biotechnology: Commercial Physical & Biological Resarch,17.3,38.51
HPK,HighPeak Energy Inc. Common Stock,Energy,Oil & Gas Production,7.03,38.39
VELO,Velo3D Inc. Common stock,Technology,Industrial Machinery/Components,13.38,38.22
NEXT,NextDecade Corporation Common Stock,Utilities,Oil & Gas Production,7.32,38.11
TKNO,Alpha Teknova Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,3.12,38.05
DLTH,Duluth Holdings Inc. Class B Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,3.14,37.72
IMUX,Immunic Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.23,36.97
EQNR,Equinor ASA,Energy,Integrated oil Companies,39.69,36.32
DK,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,45.86,35.79
WIX,Wix.com Ltd. Ordinary Shares,Technology,Computer Software: Programming Data Processing,88.86,35.68
ARX,Accelerant Holdings Class A Common Shares,Finance,Specialty Insurers,12.82,35.57
STGW,Stagwell Inc. Class A Common Stock,Consumer Discretionary,Advertising,6.11,35.48
AIXC,AIxCrypto Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.3,35.42
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Consumer Discretionary,Durable Goods,6.94,35.28
OCC,Optical Cable Corporation Common Stock,Industrials,Telecommunications Equipment,8.43,35.1
PMVP,PMV Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.43,34.91
KGEI,Kolibri Global Energy Inc. Common stock,Energy,Oil & Gas Production,5.4,34.89
ULH,Universal Logistics Holdings Inc. Common Stock,Industrials,Trucking Freight/Courier Services,20.04,34.86
NPT,Texxon Holding Limited Ordinary shares,Consumer Discretionary,Specialty Chemicals,7.34,34.43
PTEN,Patterson-UTI Energy Inc. Common Stock,Energy,Oil & Gas Production,11.03,34.21
NET,Cloudflare Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,219.83,34.2
NAUT,Nautilus Biotechnology Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,3.81,34.15
ADGM,Adagio Medical Holdings Inc Common Stock,Health Care,Medical/Dental Instruments,1.33,33.94
MRDN,Meridian Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,8.22,33.79
TLX,Telix Pharmaceuticals Limited American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,8.76,33.64
BKSY,BlackSky Technology Inc. Class A Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,26.32,33.52
DOCN,DigitalOcean Holdings Inc. Common Stock,Technology,Computer Software: Programming Data Processing,83.75,33.49
DEC,Diversified Energy Company Common Stock,,,17.12,33.31
BWIN,The Baldwin Insurance Group Inc. Class A Common Stock,Finance,Specialty Insurers,22.13,33.31
LNG,Cheniere Energy Inc. Common Stock,Utilities,Oil/Gas Transmission,294.47,33.27
FIGS,FIGS Inc. Class A Common Stock,Consumer Discretionary,Apparel,14.6,33.21
ODYS,Odysight.ai Inc. Common Stock,Technology,Electronic Components,6.55,33.13
TRT,Trio-Tech International Common Stock,Technology,Industrial Machinery/Components,6.13,32.97
GOCO,GoHealth Inc. Class A Common Stock,Finance,Specialty Insurers,1.94,32.88
UAN,CVR Partners LP Common Units representing Limited Partner Interests,Industrials,Agricultural Chemicals,131.8,32.6
LIDR,AEye Inc. Class A Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,2.12,32.5
CHCI,Comstock Holding Companies Inc. Class A Common Stock,Finance,Real Estate,15.35,32.33
PL,Planet Labs PBC Class A Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,32.67,32.21
LOCO,El Pollo Loco Holdings Inc. Common Stock,Consumer Discretionary,Restaurants,14.12,32.09
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),13.69,31.97
STRZ,Starz Entertainment Corp. Common Shares,Consumer Discretionary,Movies/Entertainment,12.24,31.9
PED,Pedevco Corp. Common Stock,Energy,Oil & Gas Production,15.98,31.85
CHRD,Chord Energy Corporation Common Stock,Energy,Oil & Gas Production,136.84,31.8
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,Oilfield Services/Equipment,6.77,31.71
CF,CF Industries Holdings Inc. Common Stock,Industrials,Agricultural Chemicals,126.58,31.71
ATOS,Atossa Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.55,31.71
ANIK,Anika Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments,14.28,31.61
PERF,Perfect Corp. Class A Ordinary Share,Technology,Computer Software: Prepackaged Software,1.71,31.15
BNAI,Brand Engagement Network Inc. Common Stock,Technology,EDP Services,36.85,30.67
ELA,Envela Corporation Common Stock,Consumer Discretionary,Consumer Specialties,17.24,30.61
VTEX,VTEX Class A Common Shares,Technology,Computer Software: Prepackaged Software,3.89,30.54
PURR,Hyperliquid Strategies Inc Common Stock,Finance,Finance: Consumer Services,5.16,30.51
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Industrials,Major Chemicals,75.18,30.47
REPX,Riley Exploration Permian Inc. Common Stock,Energy,Oil & Gas Production,36.04,30.44
CZR,Caesars Entertainment Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,26.51,30.36
VET,Vermilion Energy Inc. Common (Canada),Energy,Oil & Gas Production,13.56,29.86
PUMP,ProPetro Holding Corp. Common Stock,Energy,Oilfield Services/Equipment,15.01,29.17
CNTX,Context Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.2,29.03
ANDG,Andersen Group Inc. Class A Common Stock,Real Estate,Real Estate,26.78,28.87
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Medical Specialities,22.12,28.83
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share,Energy,Oil & Gas Production,24.52,28.75
AR,Antero Resources Corporation Common Stock,Energy,Oil & Gas Production,43.53,28.67
NTGR,NETGEAR Inc. Common Stock,Utilities,Telecommunications Equipment,26.11,28.56
ETON,Eton Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,23.49,28.5
GEVO,Gevo Inc. Common Stock,Industrials,Major Chemicals,2.35,28.39
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),9.77,28.38
ADEA,Adeia Inc. Common Stock,Technology,Computer Software: Prepackaged Software,25.22,28.11
CVV,CVD Equipment Corporation Common Stock,Technology,Industrial Machinery/Components,5.03,27.86
BRCB,Black Rock Coffee Bar Inc. Class A Common Stock,Consumer Discretionary,Restaurants,14.82,27.65
BRAG,Bragg Gaming Group Inc. Common Shares,Technology,Office Equipment/Supplies/Services,2.08,27.61
INV,Innventure Inc. Common Stock,Finance,Blank Checks,4.18,27.39
ESCA,Escalade Incorporated Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,18.37,27.39
CRGY,Crescent Energy Company Class A Common Stock,Energy,Oil & Gas Production,13.02,27.28
ASIX,AdvanSix Inc. Common Stock ,Industrials,Major Chemicals,22.6,27.22
ASRT,Assertio Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,15.15,26.93
VAC,Marriott Vacations Worldwide Corporation Common Stock,Finance,Real Estate,70.32,26.62
CAVA,CAVA Group Inc. Common Stock,Consumer Discretionary,Restaurants,85.71,26.41
ARLO,Arlo Technologies Inc. Common Stock,Consumer Staples,Consumer Electronics/Appliances,14.67,26.36
EPSN,Epsilon Energy Ltd. Common Share,Energy,Oil & Gas Production,6.11,26.33
SWBI,Smith & Wesson Brands Inc. Common Stock,Industrials,Ordnance And Accessories,14.86,26.26
GRO,Brazil Potash Corp. Common Shares,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),3.36,26.13
NEOV,NeoVolta Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,4.16,26.09
SKIN,The Beauty Health Company Class A Common Stock,Health Care,Medical/Dental Instruments,1.12,25.98
CIGL,Concorde International Group Ltd Class A Ordinary Shares,Consumer Discretionary,Diversified Commercial Services,1.99,25.95
CIEN,Ciena Corporation Common Stock,Utilities,Telecommunications Equipment,431.22,25.83
LMND,Lemonade Inc. Common Stock,Finance,Property-Casualty Insurers,65.66,25.74
CURR,Currenc Group Inc. Ordinary Shares,Real Estate,Real Estate,2.54,25.74
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies,5.07,25.68
MPC,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,244.98,25.44
DINO,HF Sinclair Corporation Common Stock,Energy,Natural Gas Distribution,61.47,25.08
ANGH,Anghami Inc. Ordinary Shares,Consumer Discretionary,Telecommunications Equipment,3.25,25.0
BYSI,BeyondSpring Inc. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,1.7,25.0
WLY,John Wiley & Sons Inc. Common Stock,Consumer Discretionary,Books,36.61,24.74
GEO,Geo Group Inc (The) REIT,Consumer Discretionary,Homebuilding,17.23,24.73
MVO,MV Oil Trust Units of Beneficial Interests,Energy,Oil & Gas Production,2.33,24.71
KBSX,FST Corp. Ordinary Shares,Consumer Discretionary,Recreational Games/Products/Toys,1.49,24.69
KOS,Kosmos Energy Ltd. Common Shares (DE),Energy,Oil & Gas Production,2.78,24.66
CNR,Core Natural Resources Inc. Common Stock,Energy,Coal Mining,110.43,24.47
CXW,CoreCivic Inc. Common Stock,Real Estate,Real Estate Investment Trusts,20.48,24.32
NCEW,New Century Logistics (BVI) Limited Ordinary Shares,Industrials,Integrated Freight & Logistics,10.07,24.32
FATN,FatPipe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1.95,24.2
GCT,GigaCloud Technology Inc Class A Ordinary Shares,Consumer Discretionary,Catalog/Specialty Distribution,42.83,24.18
RCAT,Red Cat Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,15.99,24.15
XTIA,XTI Aerospace Inc. Common Stock,Technology,EDP Services,2.09,24.11
NDLS,Noodles & Company Class A Common Stock,Consumer Discretionary,Restaurants,6.62,24.06
TSAT,Telesat Corporation Class A Common Shares and Class B Variable Voting Shares ,Industrials,Metal Fabrications,39.94,24.04
CLDX,Celldex Therapeutics Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,30.78,23.91
RSVR,Reservoir Media Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,9.28,23.9
APEI,American Public Education Inc. Common Stock,Real Estate,Other Consumer Services,56.22,23.66
FA,First Advantage Corporation Common Stock,Technology,EDP Services,11.21,23.59
IPI,Intrepid Potash Inc Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),41.44,23.54
GEOS,Geospace Technologies Corporation Common Stock (Texas),Industrials,Industrial Machinery/Components,11.31,23.47
NSP,Insperity Inc. Common Stock,Consumer Discretionary,Professional Services,26.57,23.45
VSNT,Versant Media Group Inc. Class A Common Stock ,Industrials,Broadcasting,36.85,23.45
PUBM,PubMatic Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,7.9,23.44
IOT,Samsara Inc. Class A Common Stock,Technology,EDP Services,32.18,23.44
XCUR,Exicure Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.43,23.4
LASR,nLIGHT Inc. Common Stock,Technology,Semiconductors,71.09,23.33
AHCO,AdaptHealth Corp. Common Stock,Health Care,Medical/Nursing Services,10.92,23.32
PNRG,PrimeEnergy Resources Corporation Common Stock,Energy,Oil & Gas Production,226.54,23.31
CMTV,Community Bancorp. Common Stock,Finance,Major Banks,39.08,23.2
MUR,Murphy Oil Corporation Common Stock,Energy,Oil & Gas Production,38.76,23.05
YELP,Yelp Inc. Common Stock,Consumer Discretionary,Other Consumer Services,24.29,22.8
IRD,Opus Genetics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.47,22.8
ASTH,Astrana Health Inc. Common Stock,Consumer Discretionary,Professional Services,23.59,22.76
INUV,Inuvo Inc.,Consumer Discretionary,Advertising,2.27,22.7
DAVE,Dave Inc. Class A Common Stock,Finance,Finance: Consumer Services,207.73,22.69
HNST,The Honest Company Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,2.77,22.64
LAW,CS Disco Inc. Common Stock,Technology,Computer Software: Prepackaged Software,3.99,22.55
PERI,Perion Network Ltd. Ordinary Shares,Technology,EDP Services,10.23,22.51
LRMR,Larimar Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4.52,22.49
PTRN,Pattern Group Inc. Series A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,11.74,22.42
RNXT,RenovoRx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1.1,22.39
ATRA,Atara Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5.15,22.33
VOC,VOC Energy Trust Units of Beneficial Interest,Energy,Oil & Gas Production,3.63,22.22
DOW,Dow Inc. Common Stock ,Industrials,Major Chemicals,37.49,22.19
VLO,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,243.21,22.02
MTDR,Matador Resources Company Common Stock,Energy,Oil & Gas Production,61.15,21.94
GLNG,Golar Lng Ltd,Consumer Discretionary,Marine Transportation,54.42,21.93
TOI,The Oncology Institute Inc. Common Stock,Health Care,Medical/Nursing Services,3.14,21.9
ELDN,Eledon Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,2.98,21.84
DSP,Viant Technology Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,11.15,21.72
WLYB,John Wiley & Sons Inc. Common Stock,Consumer Discretionary,Books,37.0,21.71
ZJK,ZJK Industrial Co. Ltd. Class A Ordinary Shares,Industrials,Metal Fabrications,2.08,21.65
ECPG,Encore Capital Group Inc Common Stock,Finance,Finance Companies,70.57,21.63
OPXS,Optex Systems Holdings Inc. Common Stock,Technology,Electronic Components,12.77,21.39
VIST,Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,Energy,Oil & Gas Production,69.76,21.32
CNTB,Connect Biopharma Holdings Limited Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,2.97,21.22
CCC,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,6.13,21.15
WHWK,Whitehawk Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.78,21.15
INTU,Intuit Inc. Common Stock,Technology,Computer Software: Prepackaged Software,434.3,21.07
KRMN,Karman Holdings Inc. Common Stock,Industrials,Military/Government/Technical,101.14,20.98
VIAV,Viavi Solutions Inc. Common Stock,Technology,Semiconductors,35.21,20.87
AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,Coal Mining,218.12,20.76
CARG,CarGurus Inc. Class A Common Stock ,Technology,EDP Services,34.98,20.7
VRA,Vera Bradley Inc. Common Stock,Consumer Discretionary,Apparel,3.34,20.58
LMAT,LeMaitre Vascular Inc. Common Stock,Health Care,Medical/Dental Instruments,109.14,20.54
BMBL,Bumble Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,3.51,20.45
SPWH,Sportsman's Warehouse Holdings Inc. Common Stock,Consumer Discretionary,Other Specialty Stores,1.38,20.43
OPTX,Syntec Optics Holdings Inc. Class A Common Stock,Technology,Electronic Components,7.69,20.36
FRHC,Freedom Holding Corp. Common Stock,Finance,Investment Bankers/Brokers/Service,142.58,20.31
DDOG,Datadog Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,125.47,20.15
TREE,LendingTree Inc. Common Stock,Finance,Finance: Consumer Services,41.21,20.15
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Energy,Oil & Gas Production,19.85,20.04
MGRT,Mega Fortune Company Limited Ordinary Shares,Technology,EDP Services,7.62,20.0
