티커,종목명,섹터,산업,현재가,수익률(%)
FUBO,FuboTV Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment,13.13,1031.9
EDSA,Edesa Biotech Inc. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,7.16,374.17
ANTX,AN2 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,3.57,243.27
TLYS,Tilly's Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,4.18,202.9
BATL,Battalion Oil Corporation Common Stock,Energy,Oil & Gas Production,11.23,175.25
AIFF,Firefly Neuroscience Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1.78,169.74
EONR,EON Resources Inc. Class A Common Stock,Energy,Oil & Gas Production,1.01,164.32
ANNA,AleAnna Inc. Class A Common Stock,Energy,Oil & Gas Production,7.0,162.22
ROMA,Roma Green Finance Limited Class A Ordinary Shares,Consumer Discretionary,Professional Services,6.49,149.62
LNZA,LanzaTech Global Inc. Common Stock,Industrials,Major Chemicals,20.06,124.83
MGN,Megan Holdings Limited Class A Ordinary Shares,Consumer Staples,Farming/Seeds/Milling,4.01,122.78
CVGI,Commercial Vehicle Group Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,3.74,121.3
SMJF,SMJ International Holdings Inc. Class A Ordinary Shares,Consumer Discretionary,RETAIL: Building Materials,3.01,119.34
TRON,Tron Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,2.66,116.26
SVCO,Silvaco Group Inc. Common Stock,Technology,Computer Software: Prepackaged Software,7.07,108.09
PLYX,Polaryx Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.67,102.5
AMTX,Aemetis Inc. (DE) Common Stock,Industrials,Major Chemicals,2.81,97.89
AXTI,AXT Inc Common Stock,Technology,Semiconductors,69.41,97.86
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,106.8,89.8
DTCX,Datacentrex Inc. Common Stock,Technology,EDP Services,3.29,85.63
LWLG,Lightwave Logic Inc. Common Stock,Industrials,Containers/Packaging,7.43,85.16
NCSM,NCS Multistage Holdings Inc. Common Stock,Energy,Oilfield Services/Equipment,69.57,84.96
SABR,Sabre Corporation Common Stock,Technology,Computer Software: Programming Data Processing,1.5,83.99
UPXI,Upexi Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,1.12,83.39
